Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 17500 | GridSize: 195
Generation 2 | Revalues: 26390 | GridSize: 164
Generation 3 | Revalues: 28480 | GridSize: 160
Generation 4 | Revalues: 30390 | GridSize: 171
Generation 5 | Revalues: 33220 | GridSize: 173
Generation 6 | Revalues: 35290 | GridSize: 179
Generation 7 | Revalues: 36570 | GridSize: 184
Generation 8 | Revalues: 38330 | GridSize: 191
Generation 9 | Revalues: 40590 | GridSize: 189
Generation 10 | Revalues: 42270 | GridSize: 185
Generation 11 | Revalues: 43680 | GridSize: 198
Generation 12 | Revalues: 44950 | GridSize: 204
Generation 13 | Revalues: 46790 | GridSize: 221
Generation 14 | Revalues: 48350 | GridSize: 216
Generation 15 | Revalues: 49580 | GridSize: 207
Generation 16 | Revalues: 50840 | GridSize: 211
Generation 17 | Revalues: 52400 | GridSize: 220
Generation 18 | Revalues: 54010 | GridSize: 214
Generation 19 | Revalues: 56400 | GridSize: 223
Generation 20 | Revalues: 57580 | GridSize: 222
Generation 21 | Revalues: 58770 | GridSize: 215
Generation 22 | Revalues: 60470 | GridSize: 231
Generation 23 | Revalues: 61980 | GridSize: 220
Generation 24 | Revalues: 63820 | GridSize: 213
Generation 25 | Revalues: 65100 | GridSize: 202
Generation 26 | Revalues: 66350 | GridSize: 207
Generation 27 | Revalues: 67480 | GridSize: 221
Generation 28 | Revalues: 69040 | GridSize: 236
Generation 29 | Revalues: 70220 | GridSize: 243
Generation 30 | Revalues: 71530 | GridSize: 243
Generation 31 | Revalues: 72910 | GridSize: 251
Generation 32 | Revalues: 74240 | GridSize: 249
Generation 33 | Revalues: 75720 | GridSize: 258
Generation 34 | Revalues: 76980 | GridSize: 257
Generation 35 | Revalues: 78070 | GridSize: 262
Generation 36 | Revalues: 79340 | GridSize: 258
Generation 37 | Revalues: 80500 | GridSize: 253
Generation 38 | Revalues: 81610 | GridSize: 258
Generation 39 | Revalues: 82930 | GridSize: 253
Generation 40 | Revalues: 84210 | GridSize: 260
Generation 41 | Revalues: 85290 | GridSize: 259
Generation 42 | Revalues: 86320 | GridSize: 264
Generation 43 | Revalues: 87520 | GridSize: 273
Generation 44 | Revalues: 89060 | GridSize: 282
Generation 45 | Revalues: 90510 | GridSize: 270
Generation 46 | Revalues: 91870 | GridSize: 278
Generation 47 | Revalues: 92990 | GridSize: 284
Generation 48 | Revalues: 94640 | GridSize: 287
Generation 49 | Revalues: 95770 | GridSize: 285
Generation 50 | Revalues: 96950 | GridSize: 292
Generation 51 | Revalues: 98070 | GridSize: 291
Generation 52 | Revalues: 99510 | GridSize: 298
Generation 53 | Revalues: 101020 | GridSize: 297
Generation 54 | Revalues: 102100 | GridSize: 299
Generation 55 | Revalues: 103630 | GridSize: 296
Generation 56 | Revalues: 104900 | GridSize: 300
Generation 57 | Revalues: 106900 | GridSize: 297
Generation 58 | Revalues: 108240 | GridSize: 297
Generation 59 | Revalues: 109360 | GridSize: 297
Generation 60 | Revalues: 110650 | GridSize: 296
Generation 61 | Revalues: 111980 | GridSize: 296
Generation 62 | Revalues: 113230 | GridSize: 297
Generation 63 | Revalues: 114470 | GridSize: 297
Generation 64 | Revalues: 115710 | GridSize: 299
Generation 65 | Revalues: 116770 | GridSize: 299
Generation 66 | Revalues: 118030 | GridSize: 300
Generation 67 | Revalues: 119170 | GridSize: 293
Generation 68 | Revalues: 120260 | GridSize: 299
Generation 69 | Revalues: 121500 | GridSize: 294
Generation 70 | Revalues: 123060 | GridSize: 299
Generation 71 | Revalues: 124310 | GridSize: 295
Generation 72 | Revalues: 125720 | GridSize: 296
Generation 73 | Revalues: 127020 | GridSize: 300
Generation 74 | Revalues: 128160 | GridSize: 300
Generation 75 | Revalues: 129180 | GridSize: 299
Generation 76 | Revalues: 130330 | GridSize: 300
Generation 77 | Revalues: 131570 | GridSize: 296
Generation 78 | Revalues: 132650 | GridSize: 299
Generation 79 | Revalues: 134090 | GridSize: 300
Generation 80 | Revalues: 135110 | GridSize: 300
Generation 81 | Revalues: 136190 | GridSize: 300
Generation 82 | Revalues: 137250 | GridSize: 299
