Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,MOEAD
3,COMOLSD
4,COMOLSD
5,MOEAD
6,COMOLSD
7,COMOLSD
8,COMOLSD
9,COMOLSD
10,COMOLSD
11,COMOLSD
12,MOEAD
13,COMOLSD
14,COMOLSD
15,COMOLSD
16,COMOLSD
17,COMOLSD
18,COMOLSD
19,MOEAD
20,COMOLSD
21,COMOLSD
22,COMOLSD
23,COMOLSD
24,COMOLSD
25,COMOLSD
26,COMOLSD
27,COMOLSD
28,COMOLSD
29,COMOLSD
30,COMOLSD
31,COMOLSD
32,MOEAD
33,COMOLSD
34,MOEAD
35,COMOLSD
36,COMOLSD
37,MOEAD
38,COMOLSD
39,MOEAD
40,COMOLSD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,COMOLSD
45,MOEAD
46,COMOLSD
47,MOEAD
48,COMOLSD
49,COMOLSD
50,MOEAD
51,MOEAD
52,MOEAD
53,COMOLSD
54,COMOLSD
55,COMOLSD
56,COMOLSD
57,MOEAD
58,MOEAD
59,COMOLSD
60,COMOLSD
61,COMOLSD
62,MOEAD
63,MOEAD
64,COMOLSD
65,COMOLSD
66,COMOLSD
67,COMOLSD
68,COMOLSD
69,COMOLSD
70,COMOLSD
71,COMOLSD
72,MOEAD
73,MOEAD
74,COMOLSD
75,MOEAD
76,MOEAD
77,COMOLSD
78,COMOLSD
79,COMOLSD
80,MOEAD
81,COMOLSD
82,COMOLSD
83,COMOLSD
84,COMOLSD
85,MOEAD
86,COMOLSD
87,COMOLSD
88,COMOLSD
89,COMOLSD
90,MOEAD
91,MOEAD
92,MOEAD
93,COMOLSD
94,COMOLSD
95,COMOLSD
96,MOEAD
97,COMOLSD
98,COMOLSD
99,COMOLSD
