r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.878,0.784,1.0,1.009,0.986,0.987
50%,0.931,1.004,1.031,0.983,1.041,0.793
25%,0.639,0.999,1.009,1.056,1.056,0.912
10%,0.882,1.015,1.007,1.048,1.044,0.851
5%,0.805,1.037,0.967,1.045,1.041,1.092
