Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
398,0.3812403101,0.0973048255,0.4475851818,2.4452753318,-0.2432765522,0.14,0.0720895223,0.4874001229,2.7420426518,0.5720810571,0.4787596899,0.0697615846,0.1277795104,3.3522236673,0.3587564457,0.4787596899,0.0697615846,0.1277795104,3.3522236673,0.3587564457,0.92823689464,0.877456334753
399,0.4413953488,0.1171280634,0.5997815326,2.483990028,-0.0548446718,0.1293023256,0.0718329894,0.6072945489,2.8247289612,0.5680310018,0.4293023256,0.0793401669,0.0585222288,2.1988717208,-0.1022758513,0.4293023256,0.0793401669,0.0585222288,2.1988717208,-0.1022758513,0.842184240127,0.8254704843924999
4,0.3488135593,0.0721834937,0.0870751671,3.0982900216,0.560570245,0.1284745763,0.0636945454,0.2747496279,2.6992659918,0.4333303916,0.5227118644,0.0701047765,-0.061883942,2.7345876485,-0.1294874946,0.5227118644,0.0701047765,-0.061883942,2.7345876485,-0.1294874946,0.9405435062850002,0.8959814839715001
40,0.3575757576,0.1041860313,0.7426371925,2.0142740873,0.0586709851,0.1442424242,0.0744690419,0.7813401572,2.0754701991,0.1817038631,0.4981818182,0.0564320211,0.245589971,2.9983814849,0.2140499309,0.4981818182,0.0564320211,0.245589971,2.9983814849,0.2140499309,0.8833222611989997,0.871787375563
400,0.5094117647,0.1441868581,0.7783917492,1.9427565415,-0.1618792544,0.1329411765,0.0962695179,0.7239472267,2.4710706583,0.6148914701,0.3576470588,0.0766603979,0.2417894417,2.9978126874,0.3448883545,0.3576470588,0.0766603979,0.2417894417,2.9978126874,0.3448883545,0.7542725201799999,0.7458616971790002
401,0.3056,0.0765635248,0.1805951658,2.8762428559,0.1074460753,0.1490666667,0.0725382351,0.4104192631,3.3687525517,0.6168509389,0.5453333333,0.0813442616,-0.2117134749,3.8095840669,0.4776095611,0.5453333333,0.0813442616,-0.2117134749,3.8095840669,0.4776095611,0.8727061028849998,0.800605271929
402,0.3880808081,0.0929828568,0.2499162982,2.3226128054,0.3662620444,0.1272727273,0.0764069141,0.5830028129,2.8596412587,0.7179234964,0.4846464646,0.0771108756,-0.0331552473,2.7906464465,0.2978582566,0.4846464646,0.0771108756,-0.0331552473,2.7906464465,0.2978582566,0.8449998626349998,0.7958304630005001
403,0.3242051282,0.0795420158,0.4058849207,2.7455315939,0.0935572083,0.1561025641,0.0811784343,0.5386124327,2.8671002824,0.4619422833,0.5196923077,0.0655853931,-0.0145209429,2.8784906936,0.0459222346,0.5196923077,0.0655853931,-0.0145209429,2.8784906936,0.0459222346,0.966459767065,0.9094277102955
404,0.3234108527,0.0821087965,0.4120315119,2.6040572465,-0.1074411352,0.1499224806,0.0803142676,0.6230073707,2.1576343666,0.4022255995,0.5266666667,0.0727034257,0.1078832695,2.3809932139,0.1435518283,0.5266666667,0.0727034257,0.1078832695,2.3809932139,0.1435518283,0.8937794813100002,0.8576234686690002
405,0.5406666667,0.172161423,0.841687144,2.1052879666,-0.4348628073,0.185,0.1412621676,0.8000128968,2.0775060725,0.5824108094,0.2743333333,0.0710015649,0.3746279102,3.6033081749,0.1643206973,0.2743333333,0.0710015649,0.3746279102,3.6033081749,0.1643206973,0.8885283411079999,0.8791561877160501
