Feature,Importance
SUP_sd,0.1580557193682877
INC_sd,0.15155829580470914
INF_sd,0.11811420117675502
INC_r1,0.06955071697470698
SUP_r1,0.06878382086921529
INF_avg,0.053039147180242774
SUP_avg,0.05086738278490468
IND_r1,0.050702255484353344
INF_r1,0.03964954175377265
IND_avg,0.03919162448951225
INC_kr,0.03661180723921528
IND_sk,0.027284991155613128
INF_sk,0.024847974698706858
SUP_sk,0.021911084692879404
INF_kr,0.02046563392097213
SUP_kr,0.015095552023622096
IND_kr,0.014655135434782968
INC_sk,0.014406828041282727
INC_avg,0.013507995436267066
IND_sd,0.011700291470198488
