Feature,Importance
INF_r1,0.12288672819359484
INF_sd,0.09382103089215872
INC_avg,0.09268284448218125
INF_avg,0.0867933792439099
INF_kr,0.05672620668011635
IND_avg,0.056254540692744985
INC_sk,0.05358273993120325
INC_r1,0.052212934855488814
SUP_sd,0.04889349253676098
INC_sd,0.04548222399471026
SUP_sk,0.04034991286228238
IND_kr,0.0375756848545906
SUP_avg,0.034945527089763166
IND_sd,0.03185982881832626
SUP_r1,0.031253373073574384
IND_r1,0.028432933270867208
IND_sk,0.026044831285097048
INC_kr,0.02458937074795472
INF_sk,0.018321295841977524
SUP_kr,0.01729112065269735
