Instance,SBS_Prediction
71,0.8075372641550008
129,0.7241466234793008
22,0.7134648777833997
183,0.8781784690981804
429,0.7919646907825001
64,0.79041586366545
481,0.8121881732434502
241,0.8077907745124997
281,0.8039927597832995
84,0.7920375421525498
161,0.7980755202441498
103,0.7968015013946999
209,0.8041973500621
206,0.7982769778348502
244,0.8094288554869
336,0.7925406951841498
331,0.79454037075645
0,0.7946027134447501
261,0.7920552616398503
504,0.79113537186245
407,0.79476552172505
440,0.7922871807850003
230,0.7953546649506
430,0.7895677413182998
A,0.7915866305358997
357,0.7942467673498004
202,0.8014536388818502
345,0.8020174433970496
232,0.7878407672010006
127,0.7897997093715996
20,0.7980670849730503
387,0.7977018534255
67,0.7908641715661001
502,0.79896142753225
94,0.7938326165545
74,0.8063948748474999
23,0.7924029014632005
156,0.7885702465914002
394,0.7889440588370502
121,0.8089831551059499
242,0.79530313620755
80,0.7933494013022502
11,0.7943928323880501
59,0.8039762391626499
179,0.7944526435123
427,0.7963954041304498
340,0.79466929805875
137,0.8008853862500999
366,0.8006258705734
322,0.7868114259849497
81,0.8097334244553497
237,0.7885476682506498
69,0.7916062997879502
239,0.7944978545262507
497,0.79520632345425
