r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.479,0.438,0.559,0.594,0.552,0.53
50%,0.502,0.538,0.485,0.587,0.657,0.489
25%,0.313,0.613,0.513,0.576,0.603,0.43
10%,0.47,0.557,0.54,0.576,0.637,0.483
5%,0.402,0.662,0.508,0.659,0.574,0.548
