Feature,Importance
IND_avg,0.3307929460168995
SUP_sk,0.06941163724357342
INF_avg,0.06777665812184551
IND_sd,0.064430508129773
INF_sd,0.06440910455441012
INF_kr,0.06238394783061987
IND_sk,0.04619088923330827
INC_kr,0.04035643777808012
SUP_avg,0.03806544902976558
INF_r1,0.03505968123992464
INC_avg,0.03436457166652928
IND_kr,0.031408043675879925
SUP_r1,0.027275044609408362
SUP_kr,0.026064208756012876
INC_sk,0.02180434274599953
IND_r1,0.01294322722225279
INC_r1,0.010152727813495424
INF_sk,0.006562457099454051
SUP_sd,0.00636582597463722
INC_sd,0.004182291258130477
