Feature,Importance
IND_avg,0.18491620757213645
INC_sk,0.13444203168471458
IND_sd,0.09874643615638908
INF_sd,0.09503265521502673
IND_kr,0.08719009885136794
INC_r1,0.08072208671744882
INC_sd,0.07270579665263088
INC_kr,0.06602338958860927
INF_r1,0.030169960917374228
INC_avg,0.02923828834627253
SUP_avg,0.02594314108367669
SUP_sd,0.021749829492756324
IND_sk,0.014717858511315107
INF_kr,0.014483742231832832
SUP_kr,0.01371697199298449
IND_r1,0.011426637536629525
SUP_sk,0.006418240196920424
SUP_r1,0.00503140557866818
INF_sk,0.004122036435063846
INF_avg,0.003203185238182056
