Feature,Importance
INC_sd,0.1321383138734917
INC_kr,0.11564345008055722
INC_sk,0.11389230343153939
SUP_sk,0.09896480368643593
SUP_kr,0.0900478703031731
SUP_r1,0.0746081069411915
SUP_sd,0.051319399024653184
IND_avg,0.051226550412084765
INF_avg,0.04113993436701294
INF_kr,0.04053604885142843
INF_sk,0.03429940510322773
IND_sd,0.032746761524199836
SUP_avg,0.030191271185067786
INC_avg,0.025877686182202955
IND_kr,0.017345119879926544
IND_r1,0.015253995179670288
INF_sd,0.011726277289689774
IND_sk,0.01070742506040227
INC_r1,0.008247681159491335
INF_r1,0.004087596464553428
