Feature,Importance
IND_avg,0.3379659730281657
IND_sd,0.09318257904439685
SUP_sk,0.08113038481237914
INF_kr,0.06598953745249062
INF_sd,0.06273323910692437
INF_avg,0.058086889821857134
SUP_kr,0.04071901050498286
INC_avg,0.03721580610878533
IND_sk,0.03474420827242479
INF_r1,0.028397093461970183
SUP_avg,0.02685699699785918
IND_kr,0.023598720929376225
INC_kr,0.023120867077851676
INC_sk,0.02304888537444287
SUP_r1,0.02013958382149557
IND_r1,0.013091377665784974
INC_r1,0.011813019255029596
INF_sk,0.008570677283969519
SUP_sd,0.005407463550609204
INC_sd,0.0041876864292041596
