Feature,Importance
INF_sd,0.13897400754343156
IND_sd,0.0873973452762196
INF_sk,0.08109102014316306
IND_avg,0.07803336623249424
INF_avg,0.07144804668612065
SUP_r1,0.07070395405198183
INC_kr,0.057783569006648855
INC_sd,0.0540669913270062
INC_avg,0.046685073814455934
SUP_sd,0.04608173264722513
SUP_avg,0.03128684741615148
INC_sk,0.030472151542689355
INC_r1,0.028334158205296535
IND_kr,0.027850771066349145
IND_r1,0.0275571203967727
INF_kr,0.026737118899944772
SUP_sk,0.02566856167316154
IND_sk,0.024381197408624947
SUP_kr,0.02370271334716792
INF_r1,0.021744253315094643
