Feature,Importance
INF_sd,0.1841456578596323
SUP_sd,0.10852730601749411
INC_sd,0.09937941846043141
IND_r1,0.07141197696450213
SUP_r1,0.06944228493169864
INC_avg,0.06022815350013997
INF_r1,0.05560591892903997
INF_kr,0.04642372536697013
IND_avg,0.045484583338693686
INC_r1,0.036239342558234945
SUP_avg,0.03529775392775792
INF_avg,0.0314353536520669
INC_kr,0.02995010216251556
SUP_kr,0.024673656675925696
IND_sk,0.018669409428625702
INC_sk,0.018662868438661016
SUP_sk,0.01759825057860303
IND_sd,0.01637209859520417
INF_sk,0.015863623124964785
IND_kr,0.01458851548883801
