r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.825,0.853,0.917,0.958,1.15,0.989
50%,1.28,0.904,0.987,1.012,1.097,0.706
25%,0.715,1.072,0.983,1.154,1.131,1.066
10%,0.904,1.023,1.142,1.157,1.106,0.914
5%,0.949,1.104,1.097,1.176,1.096,1.137
