Feature,Importance
INF_r1,0.2271848466973172
SUP_r1,0.09890127734121792
INC_kr,0.08799566024109995
SUP_sd,0.05696553441552358
IND_r1,0.05366718861104894
INC_sk,0.050870429345359264
INC_avg,0.04214076533253494
IND_sk,0.034629521862852765
SUP_sk,0.03381084084078998
INF_avg,0.03359939588731441
INF_sd,0.032690924202738454
INF_sk,0.03139872868564895
IND_avg,0.03031973569180418
SUP_avg,0.029745000511992643
IND_kr,0.028766745532877502
INF_kr,0.028670956858143044
SUP_kr,0.02848308967273919
INC_r1,0.027088315746243867
IND_sd,0.02386800517535614
INC_sd,0.01920303734739709
