Feature,Importance
INF_r1,0.11594569312055192
INF_sd,0.09435164836873312
INF_avg,0.09089042532368755
INC_avg,0.09005852229235652
INC_r1,0.06808647345413615
IND_avg,0.06459760030221154
INC_sd,0.05380760653096648
INC_sk,0.04498270922010436
SUP_sd,0.04212619509715111
SUP_avg,0.04056466271457506
SUP_sk,0.03846935165220196
INF_kr,0.03686141106526937
SUP_r1,0.03481006937275517
IND_sd,0.03153552832218535
IND_r1,0.03142048632807402
IND_sk,0.027506500204460743
INC_kr,0.026827859936767638
IND_kr,0.02621388606978533
SUP_kr,0.021314864881592274
INF_sk,0.019628505742434372
