Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 42800 | GridSize: 290
Generation 2 | Revalues: 54430 | GridSize: 300
Generation 3 | Revalues: 58560 | GridSize: 300
Generation 4 | Revalues: 61250 | GridSize: 300
Generation 5 | Revalues: 65880 | GridSize: 300
Generation 6 | Revalues: 67790 | GridSize: 298
Generation 7 | Revalues: 70130 | GridSize: 300
Generation 8 | Revalues: 72470 | GridSize: 300
Generation 9 | Revalues: 75280 | GridSize: 299
Generation 10 | Revalues: 76970 | GridSize: 300
Generation 11 | Revalues: 79640 | GridSize: 300
Generation 12 | Revalues: 81350 | GridSize: 300
Generation 13 | Revalues: 82670 | GridSize: 300
Generation 14 | Revalues: 83990 | GridSize: 300
Generation 15 | Revalues: 85900 | GridSize: 299
Generation 16 | Revalues: 87480 | GridSize: 299
Generation 17 | Revalues: 88900 | GridSize: 300
Generation 18 | Revalues: 90880 | GridSize: 299
Generation 19 | Revalues: 92800 | GridSize: 296
Generation 20 | Revalues: 94720 | GridSize: 300
Generation 21 | Revalues: 96910 | GridSize: 300
Generation 22 | Revalues: 98540 | GridSize: 300
Generation 23 | Revalues: 100360 | GridSize: 300
Generation 24 | Revalues: 102510 | GridSize: 300
Generation 25 | Revalues: 104060 | GridSize: 300
Generation 26 | Revalues: 105620 | GridSize: 300
Generation 27 | Revalues: 107410 | GridSize: 300
Generation 28 | Revalues: 109030 | GridSize: 300
Generation 29 | Revalues: 110450 | GridSize: 300
Generation 30 | Revalues: 112260 | GridSize: 299
Generation 31 | Revalues: 113800 | GridSize: 300
Generation 32 | Revalues: 115450 | GridSize: 300
Generation 33 | Revalues: 116560 | GridSize: 300
Generation 34 | Revalues: 118540 | GridSize: 300
Generation 35 | Revalues: 119940 | GridSize: 300
Generation 36 | Revalues: 122680 | GridSize: 300
Generation 37 | Revalues: 123980 | GridSize: 300
Generation 38 | Revalues: 126140 | GridSize: 300
Generation 39 | Revalues: 127660 | GridSize: 300
Generation 40 | Revalues: 129120 | GridSize: 300
Generation 41 | Revalues: 130710 | GridSize: 299
