Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 29720 | GridSize: 298
Generation 2 | Revalues: 34130 | GridSize: 300
Generation 3 | Revalues: 38630 | GridSize: 299
Generation 4 | Revalues: 42090 | GridSize: 300
Generation 5 | Revalues: 44930 | GridSize: 300
Generation 6 | Revalues: 47420 | GridSize: 300
Generation 7 | Revalues: 50140 | GridSize: 300
Generation 8 | Revalues: 52580 | GridSize: 300
Generation 9 | Revalues: 54210 | GridSize: 300
Generation 10 | Revalues: 56920 | GridSize: 300
Generation 11 | Revalues: 59610 | GridSize: 300
Generation 12 | Revalues: 61330 | GridSize: 300
Generation 13 | Revalues: 63450 | GridSize: 300
Generation 14 | Revalues: 65040 | GridSize: 300
Generation 15 | Revalues: 67150 | GridSize: 300
Generation 16 | Revalues: 70410 | GridSize: 299
Generation 17 | Revalues: 72140 | GridSize: 298
Generation 18 | Revalues: 74070 | GridSize: 300
Generation 19 | Revalues: 76000 | GridSize: 300
Generation 20 | Revalues: 77870 | GridSize: 300
Generation 21 | Revalues: 79540 | GridSize: 300
Generation 22 | Revalues: 81300 | GridSize: 300
Generation 23 | Revalues: 82760 | GridSize: 300
Generation 24 | Revalues: 84360 | GridSize: 300
Generation 25 | Revalues: 85750 | GridSize: 298
Generation 26 | Revalues: 87670 | GridSize: 300
Generation 27 | Revalues: 90390 | GridSize: 300
Generation 28 | Revalues: 91730 | GridSize: 300
Generation 29 | Revalues: 93690 | GridSize: 300
Generation 30 | Revalues: 95600 | GridSize: 300
Generation 31 | Revalues: 97210 | GridSize: 300
Generation 32 | Revalues: 98950 | GridSize: 300
Generation 33 | Revalues: 100820 | GridSize: 300
Generation 34 | Revalues: 102190 | GridSize: 300
Generation 35 | Revalues: 103610 | GridSize: 300
Generation 36 | Revalues: 104980 | GridSize: 300
Generation 37 | Revalues: 106420 | GridSize: 300
Generation 38 | Revalues: 108620 | GridSize: 300
Generation 39 | Revalues: 110000 | GridSize: 300
Generation 40 | Revalues: 111230 | GridSize: 300
Generation 41 | Revalues: 113060 | GridSize: 300
Generation 42 | Revalues: 114330 | GridSize: 299
Generation 43 | Revalues: 115820 | GridSize: 300
Generation 44 | Revalues: 117570 | GridSize: 300
Generation 45 | Revalues: 119020 | GridSize: 300
Generation 46 | Revalues: 120550 | GridSize: 300
Generation 47 | Revalues: 122220 | GridSize: 300
Generation 48 | Revalues: 123500 | GridSize: 300
Generation 49 | Revalues: 124750 | GridSize: 300
Generation 50 | Revalues: 126380 | GridSize: 299
Generation 51 | Revalues: 127500 | GridSize: 300
Generation 52 | Revalues: 128990 | GridSize: 300
Generation 53 | Revalues: 130060 | GridSize: 300
Generation 54 | Revalues: 131420 | GridSize: 300
Generation 55 | Revalues: 132570 | GridSize: 300
Generation 56 | Revalues: 133880 | GridSize: 300
Generation 57 | Revalues: 135350 | GridSize: 300
Generation 58 | Revalues: 136890 | GridSize: 300
Generation 59 | Revalues: 138130 | GridSize: 299
Generation 60 | Revalues: 139550 | GridSize: 300
Generation 61 | Revalues: 140830 | GridSize: 300
Generation 62 | Revalues: 142010 | GridSize: 300
Generation 63 | Revalues: 143700 | GridSize: 300
Generation 64 | Revalues: 144880 | GridSize: 298
Generation 65 | Revalues: 146240 | GridSize: 300
Generation 66 | Revalues: 147600 | GridSize: 300
Generation 67 | Revalues: 148890 | GridSize: 300
Generation 68 | Revalues: 150190 | GridSize: 300
Generation 69 | Revalues: 151720 | GridSize: 300
Generation 70 | Revalues: 152830 | GridSize: 300
Generation 71 | Revalues: 154230 | GridSize: 300
Generation 72 | Revalues: 155680 | GridSize: 300
Generation 73 | Revalues: 157090 | GridSize: 300
Generation 74 | Revalues: 158250 | GridSize: 300
Generation 75 | Revalues: 159670 | GridSize: 300
Generation 76 | Revalues: 161050 | GridSize: 299
Generation 77 | Revalues: 162110 | GridSize: 299
Generation 78 | Revalues: 163930 | GridSize: 300
Generation 79 | Revalues: 165490 | GridSize: 300
Generation 80 | Revalues: 166580 | GridSize: 300
Generation 81 | Revalues: 167830 | GridSize: 300
Generation 82 | Revalues: 168920 | GridSize: 300
Generation 83 | Revalues: 170200 | GridSize: 300
Generation 84 | Revalues: 171360 | GridSize: 300
Generation 85 | Revalues: 172880 | GridSize: 300
Generation 86 | Revalues: 174100 | GridSize: 300
Generation 87 | Revalues: 175210 | GridSize: 300
Generation 88 | Revalues: 176460 | GridSize: 300
Generation 89 | Revalues: 177580 | GridSize: 300
Generation 90 | Revalues: 178740 | GridSize: 300
Generation 91 | Revalues: 180060 | GridSize: 300
Generation 92 | Revalues: 181350 | GridSize: 300
Generation 93 | Revalues: 182570 | GridSize: 300
Generation 94 | Revalues: 183710 | GridSize: 300
Generation 95 | Revalues: 185040 | GridSize: 300
Generation 96 | Revalues: 186160 | GridSize: 300
Generation 97 | Revalues: 187360 | GridSize: 300
Generation 98 | Revalues: 188440 | GridSize: 300
Generation 99 | Revalues: 189700 | GridSize: 300
Generation 100 | Revalues: 190890 | GridSize: 300
Generation 101 | Revalues: 192260 | GridSize: 300
Generation 102 | Revalues: 193420 | GridSize: 300
Generation 103 | Revalues: 194590 | GridSize: 300
Generation 104 | Revalues: 196050 | GridSize: 300
Generation 105 | Revalues: 197220 | GridSize: 299
Generation 106 | Revalues: 198340 | GridSize: 300
Generation 107 | Revalues: 199520 | GridSize: 300
Generation 108 | Revalues: 200690 | GridSize: 299
Generation 109 | Revalues: 201880 | GridSize: 300
Generation 110 | Revalues: 203000 | GridSize: 300
Generation 111 | Revalues: 204160 | GridSize: 300
Generation 112 | Revalues: 205260 | GridSize: 300
Generation 113 | Revalues: 206280 | GridSize: 300
Generation 114 | Revalues: 207680 | GridSize: 300
Generation 115 | Revalues: 208830 | GridSize: 300
Generation 116 | Revalues: 210130 | GridSize: 300
Generation 117 | Revalues: 211370 | GridSize: 300
Generation 118 | Revalues: 212560 | GridSize: 300
Generation 119 | Revalues: 213840 | GridSize: 300
Generation 120 | Revalues: 214980 | GridSize: 300
Generation 121 | Revalues: 216180 | GridSize: 300
Generation 122 | Revalues: 217530 | GridSize: 300
Generation 123 | Revalues: 218690 | GridSize: 300
Generation 124 | Revalues: 219980 | GridSize: 299
Generation 125 | Revalues: 221110 | GridSize: 300
Generation 126 | Revalues: 222340 | GridSize: 300
Generation 127 | Revalues: 223490 | GridSize: 300
Generation 128 | Revalues: 224710 | GridSize: 300
Generation 129 | Revalues: 225900 | GridSize: 300
Generation 130 | Revalues: 226970 | GridSize: 300
Generation 131 | Revalues: 228200 | GridSize: 300
Generation 132 | Revalues: 229360 | GridSize: 299
Generation 133 | Revalues: 230650 | GridSize: 299
Generation 134 | Revalues: 231760 | GridSize: 300
Generation 135 | Revalues: 233040 | GridSize: 300
Generation 136 | Revalues: 234130 | GridSize: 300
Generation 137 | Revalues: 235210 | GridSize: 300
Generation 138 | Revalues: 236470 | GridSize: 300
