r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.71,0.748,0.843,0.641,0.82,0.709
50%,0.728,0.778,0.787,0.839,0.839,0.758
25%,0.634,0.874,0.775,0.78,0.821,0.732
10%,0.682,0.798,0.856,0.836,0.848,0.771
5%,0.778,0.752,0.831,0.83,0.765,0.785
