Fold,SBS_Best_Models
0,COMOLSD
1,COMOLSD
2,MOEAD
3,MOEAD
4,COMOLSD
5,COMOLSD
6,MOEAD
7,MOEAD
8,MOEAD
9,MOEAD
10,COMOLSD
11,COMOLSD
12,MOEAD
13,COMOLSD
14,COMOLSD
15,COMOLSD
16,COMOLSD
17,MOEAD
18,COMOLSD
19,COMOLSD
20,COMOLSD
21,MOEAD
22,COMOLSD
23,COMOLSD
24,COMOLSD
25,COMOLSD
26,MOEAD
27,COMOLSD
28,COMOLSD
29,MOEAD
30,MOEAD
31,COMOLSD
32,COMOLSD
33,MOEAD
34,MOEAD
35,COMOLSD
36,COMOLSD
37,COMOLSD
38,COMOLSD
39,MOEAD
40,MOEAD
41,COMOLSD
42,COMOLSD
43,COMOLSD
44,MOEAD
45,COMOLSD
46,COMOLSD
47,COMOLSD
48,COMOLSD
49,COMOLSD
50,COMOLSD
51,MOEAD
52,COMOLSD
53,MOEAD
54,COMOLSD
55,COMOLSD
56,COMOLSD
57,MOEAD
58,COMOLSD
59,COMOLSD
60,COMOLSD
61,COMOLSD
62,COMOLSD
63,COMOLSD
64,COMOLSD
65,MOEAD
66,MOEAD
67,COMOLSD
68,COMOLSD
69,COMOLSD
70,COMOLSD
71,MOEAD
72,MOEAD
73,COMOLSD
74,COMOLSD
75,COMOLSD
76,COMOLSD
77,COMOLSD
78,COMOLSD
79,COMOLSD
80,MOEAD
81,MOEAD
82,COMOLSD
83,MOEAD
84,COMOLSD
85,MOEAD
86,COMOLSD
87,COMOLSD
88,COMOLSD
89,MOEAD
90,MOEAD
91,MOEAD
92,MOEAD
93,COMOLSD
94,COMOLSD
95,MOEAD
96,MOEAD
97,MOEAD
98,COMOLSD
99,MOEAD
