Instance,SBS_Prediction
71,0.8202679207089999
129,0.7268361833621003
22,0.7096129472323004
183,0.8798244295832716
429,0.7980902235630499
64,0.8024085960623001
481,0.7925350505990504
241,0.7880885374281005
281,0.8015843973921999
84,0.80144705709835
161,0.8003763178686504
103,0.8010250329342504
209,0.7980218339333506
206,0.7979092910026498
244,0.7890884498249998
336,0.79905974698145
331,0.8053833229796004
0,0.7947193497449496
261,0.80744764783235
504,0.7973985830500001
407,0.7923603811450005
440,0.79227911501845
230,0.8032201675254
430,0.8012353554816503
A,0.7937642040387003
357,0.8038289045714498
202,0.7973880359227501
345,0.7956179305028998
232,0.8010973379383998
127,0.7989489943664998
20,0.7959935741046502
387,0.79119246057265
67,0.7999272403723998
502,0.7922609825011498
94,0.7965751147146003
74,0.80443789046305
23,0.7938220639340501
156,0.7944276617226506
394,0.7826936260809503
121,0.7941920616001003
242,0.7909254851029999
80,0.7927733585757498
11,0.8056114450708998
59,0.7991547162573001
179,0.8082277394094
427,0.7954519448445998
340,0.8026753607808997
137,0.7921270252302002
366,0.8052256009397999
322,0.8077311866956002
81,0.8008390979209505
237,0.8000601411345
69,0.7921592525381503
239,0.8048664366660003
497,0.8075287740600497
