Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
96,0.216,0.1222456543,0.3014094157,1.8904919551,-0.0445622178,0.332,0.1515783626,0.1343966752,3.2254618602,0.2760920587,0.452,0.1472956211,-0.191171498,2.6941290104,-0.5648744966,0.452,0.1472956211,-0.191171498,2.6941290104,-0.5648744966,0.9145416941000001,0.9094373976999999
97,0.284,0.1316966211,0.2854195581,2.3508088125,-0.1240691163,0.208,0.135410487,0.0822320117,1.8227159343,-0.0485628283,0.508,0.157276826,-0.0874649205,2.851703432,0.2379765841,0.508,0.157276826,-0.0874649205,2.851703432,0.2379765841,0.714729194295,0.6960884704300001
98,0.292,0.1597998748,-0.0940793985,2.7062298604,0.6012219225,0.244,0.1471869559,-0.2170535741,1.8511822294,0.0423902441,0.464,0.164632925,-0.2028450745,2.1387179419,0.3168581816,0.464,0.164632925,-0.2028450745,2.1387179419,0.3168581816,0.8452590392499999,0.8260044167000002
99,0.252,0.1472956211,0.0172245116,3.0571501292,0.2612289206,0.284,0.1488086019,-0.2427408156,2.2715906813,0.0567513342,0.464,0.1915828802,0.0600693384,2.7794052032,0.3826425372,0.464,0.1915828802,0.0600693384,2.7794052032,0.3826425372,0.84667946617,0.8453509562499999
A,0.216,0.1514727698,0.3641430011,2.687852687,0.3494835313,0.236,0.1466424222,0.1138577241,1.9035727572,0.2000736572,0.548,0.1552288633,-0.017170586,2.4116204505,-0.3155859469,0.548,0.1552288633,-0.017170586,2.4116204505,-0.3155859469,0.7328559269999999,0.7337857495
B,0.304,0.128,-0.2268222506,2.5384635925,0.2686157227,0.208,0.1324235629,0.1263547976,4.0824064948,0.8865050755,0.488,0.1607980099,0.0508575647,4.3972144275,-1.1322550354,0.488,0.1607980099,0.0508575647,4.3972144275,-1.1322550354,0.80770171745,0.8091062905999999
C,0.284,0.1346996659,-0.067755921,2.9459654918,0.2925575735,0.268,0.1223764683,-0.4592618234,2.3161982249,0.4967856372,0.448,0.1236769987,0.2351710011,2.2082421526,-0.0809911019,0.448,0.1236769987,0.2351710011,2.2082421526,-0.0809911019,0.8114583684650001,0.8137792037999999
D,0.244,0.113419575,-0.0638565113,2.2559033192,0.3953093713,0.212,0.1177115118,0.2877728432,2.8320088112,0.2081261629,0.544,0.149879952,-0.1773754585,2.3723184065,0.2939104362,0.544,0.149879952,-0.1773754585,2.3723184065,0.2939104362,0.80323502021,0.79910605525
E,0.168,0.1156546584,0.241582959,2.3191032714,0.334108015,0.248,0.1135605565,-0.2346296111,2.7166628697,-0.5241571107,0.584,0.1007174265,0.0541242131,2.6318353253,-0.1458307432,0.584,0.1007174265,0.0541242131,2.6318353253,-0.1458307432,0.81713361871,0.8179565082499998
F,0.284,0.1591979899,-0.0291376184,5.2082663759,1.3335785859,0.22,0.1232882801,0.1167023555,2.635734072,0.256139086,0.496,0.1215894732,-0.0790510412,3.4126890426,-0.8581142723,0.496,0.1215894732,-0.0790510412,3.4126890426,-0.8581142723,0.7973745027,0.7958242945999999
G,0.256,0.0983056458,0.0589774557,2.8865290996,0.4640211013,0.296,0.1370547336,-3.40727e-05,2.2719847113,-0.2076291568,0.448,0.1577846634,-0.0166275077,2.7731164214,0.0367557007,0.448,0.1577846634,-0.0166275077,2.7731164214,0.0367557007,0.81894117205,0.8191627686
H,0.284,0.1433317829,0.1345273066,2.6637042536,0.4449515636,0.272,0.1249639948,-0.046723301,2.1596932948,-0.1979586597,0.444,0.1722324011,-0.0786125062,2.9686831237,0.1016162929,0.444,0.1722324011,-0.0786125062,2.9686831237,0.1016162929,0.8479227465999999,0.8418874754500001
I,0.284,0.1316966211,-0.157509969,2.6571771899,0.5063633852,0.192,0.123028452,0.1803987717,3.8791372598,1.1834523341,0.524,0.1944839325,-0.1512793885,2.8741206937,-0.5025926391,0.524,0.1944839325,-0.1512793885,2.8741206937,-0.5025926391,0.8248611782599999,0.8143097896999999
J,0.268,0.1406271666,-0.2046323217,4.2511154052,0.9245682792,0.236,0.1195993311,-0.431361983,3.07611519,0.5427517953,0.496,0.1561537704,-0.2358379649,2.2635521938,0.0033280339,0.496,0.1561537704,-0.2358379649,2.2635521938,0.0033280339,0.8452325373499999,0.8395528029499999
