Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
0,0.2534,0.0370734406,-0.0954376074,2.1183479806,0.0227927189,0.2428,0.0523847306,-0.0048176713,2.4439332851,-0.2286777031,0.5038,0.0513377054,-0.1127363768,3.0530894828,0.5599240696,0.5038,0.0513377054,-0.1127363768,3.0530894828,0.5599240696,0.8684420602499999,0.8561602951999999
1,0.262,0.0437264222,0.0752615592,2.1541814744,0.030141767,0.275,0.0424852916,0.0362981435,2.5706447925,0.2433300974,0.463,0.0472122865,0.2040280921,2.604987963,0.0993194483,0.463,0.0472122865,0.2040280921,2.604987963,0.0993194483,0.71176977605,0.7119888226
10,0.2744,0.046006956,0.2348465026,3.6509337791,-0.5642302304,0.2704,0.0509886262,-0.0205297531,3.1643941743,0.2528632621,0.4552,0.0534879426,-0.0780792421,3.1073804983,0.1923088221,0.4552,0.0534879426,-0.0780792421,3.1073804983,0.1923088221,0.92579785416,0.9196138043099997
100,0.2588,0.0664421553,0.590504631,2.9269507838,0.5815433109,0.2654,0.0608673969,0.4824831595,2.3134880672,-0.0063673913,0.4758,0.0500035999,0.3751273927,2.1370631393,0.0918091605,0.4758,0.0500035999,0.3751273927,2.1370631393,0.0918091605,0.8440763327,0.8416801229499999
101,0.2352,0.0439199271,0.381605904,2.3139419961,0.2456051627,0.2618,0.0438492873,0.1483569387,2.4000853407,0.1365322968,0.503,0.0513906606,0.2366603226,3.2277334911,0.2468562107,0.503,0.0513906606,0.2366603226,3.2277334911,0.2468562107,0.78983422385,0.7898593295
102,0.2404,0.040741134,-0.0927821338,2.4209897993,0.2515111113,0.2756,0.0453501929,0.0347883107,2.4142051089,0.4210704868,0.484,0.0459129611,0.0624284515,3.0542759309,0.2913689028,0.484,0.0459129611,0.0624284515,3.0542759309,0.2913689028,0.8067996948999999,0.79016927305
103,0.3394,0.0564414741,0.1639063283,3.0952449703,-0.6104798565,0.197,0.0433704969,0.1104876097,3.7668882224,0.5292479832,0.4636,0.046851254,0.217735022,3.4982599499,-0.4946801024,0.4636,0.046851254,0.217735022,3.4982599499,-0.4946801024,0.7468422740599999,0.7464161064499999
104,0.2432,0.04969668,-0.0323867975,2.216721573,-0.0471119205,0.2484,0.0502537561,-0.1681496225,2.3916726062,0.0961778765,0.5084,0.0533051592,0.2124682252,2.5197016726,-0.2793875534,0.5084,0.0533051592,0.2124682252,2.5197016726,-0.2793875534,0.859128586,0.8569751050000001
105,0.2684,0.052890831,0.4251562932,3.8034307904,-0.1746984293,0.2822,0.0518185295,0.2490135221,2.4432834308,0.345888568,0.4494,0.0542,0.49343692,3.0593816325,-0.1827158392,0.4494,0.0542,0.49343692,3.0593816325,-0.1827158392,0.8076559726499999,0.8049653516499999
106,0.2746,0.0430910664,-0.1837498986,2.8364000955,0.4581527151,0.1924,0.0414998795,0.3246267495,2.5718704157,0.3870852462,0.533,0.0568242906,0.1335636334,2.9471311448,-0.4132639609,0.533,0.0568242906,0.1335636334,2.9471311448,-0.4132639609,0.833821745105,0.8309996206549999
