r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.844,0.773,0.958,0.959,0.987,0.969
50%,1.018,1.089,0.995,0.965,1.064,0.827
25%,0.594,1.013,1.009,1.173,1.101,0.92
10%,0.934,0.999,0.965,1.069,1.099,0.856
5%,0.692,1.028,1.01,1.115,1.076,1.076
