Instance,SBS_Prediction
71,0.8542261471810194
129,0.8402392815710445
22,0.8527520397723883
183,0.8309392819354862
429,0.8182368083190589
64,0.8592714931195622
481,0.8539234318342159
241,0.8536154952397621
281,0.8534175250936026
84,0.846037859112232
161,0.844159650869325
103,0.8540942226119718
209,0.8559568397016133
206,0.8510651264835348
244,0.8377098464045984
336,0.8534351884024673
331,0.8476019871223631
0,0.8475787647140716
261,0.8479909785453398
504,0.8408751292677032
407,0.844432259496018
440,0.849875647466057
230,0.8424653973270998
430,0.8570904846377679
A,0.8496352052356765
357,0.8554950961285703
202,0.8360073868250428
345,0.8376432738693886
232,0.8553559982623464
127,0.8477936190088746
20,0.8570223637994734
387,0.8649562705535058
67,0.8581901729016223
502,0.8489412270686164
94,0.8682449038652352
74,0.8535635141402382
23,0.8451431066686346
156,0.8480310163025223
394,0.8466159841708187
121,0.856131643031268
242,0.8392386995929211
80,0.8531632413197876
11,0.8674500657304332
59,0.847861394389371
179,0.8502065490164541
427,0.842824648565899
340,0.8456566704696351
137,0.8534993349146123
366,0.8720757869229261
322,0.845487045215182
81,0.8528215118758848
237,0.8614916972111974
69,0.8617214502002833
239,0.8585228500605728
497,0.8434902770246719
496,0.8497520279228027
