Instance,SBS_Prediction
71,0.8086302574130009
129,0.7357828667434002
22,0.6976566340855996
183,0.8785369334809077
429,0.7839215459448997
64,0.7977430393301002
481,0.8059733613002001
241,0.80649434868915
281,0.7886359754162503
84,0.7978903146080001
161,0.80116085837745
103,0.7946200441819002
209,0.7946058429105003
206,0.7957397172862499
244,0.8066531829018996
336,0.8019772966988998
331,0.7861441683386997
0,0.7912277816130003
261,0.80935787517335
504,0.7879275120715501
407,0.7932988669626497
440,0.7903281495986499
230,0.7939278772496499
430,0.7865508689933002
A,0.7968900655198502
357,0.7969294498305999
202,0.7984599345597496
345,0.7828709524881002
232,0.7946029615470002
127,0.7926301241354
20,0.7924736784091003
387,0.8003455934541003
67,0.8003697672464505
502,0.8031804569409999
94,0.79241191004035
74,0.7964185692409502
23,0.7938995448391496
156,0.8025155146922
394,0.7988855958119498
121,0.8021070032017499
242,0.7939083709465002
80,0.7929019364626001
11,0.7982398834453502
59,0.7894310956327503
179,0.7953213068694502
427,0.8080696322748004
340,0.7930831400097498
137,0.7947101601057
366,0.7898431247079998
322,0.7868533849443002
81,0.8058975740950503
237,0.7954869251719501
69,0.7868558831335499
239,0.8007165235347001
497,0.7977787193985499
