Feature,Importance
INC_kr,0.2546248220833164
INC_sd,0.1761590234089745
INF_avg,0.14512157113312824
IND_avg,0.06985869978507361
SUP_avg,0.06735111059032507
SUP_sd,0.06348996655318534
INC_sk,0.05641191214892118
INF_sd,0.029523386186016454
INC_avg,0.02237753548649276
INC_r1,0.020886143323487386
IND_sd,0.016397365861931155
INF_kr,0.01510236391446959
SUP_kr,0.015044850631668247
SUP_r1,0.011007065503012448
IND_r1,0.007485861702103163
INF_sk,0.007269919389459018
INF_r1,0.0063090100768155855
SUP_sk,0.006047925658566735
IND_kr,0.0049724322011485194
IND_sk,0.0045590343619046425
