Feature,Importance
SUP_r1,0.1858463866977893
INC_avg,0.1714849695161186
SUP_avg,0.11407029253476525
INF_avg,0.10700126970813084
SUP_sd,0.10662468114409211
IND_r1,0.07796455035939825
INF_r1,0.03386446564073377
IND_sd,0.03149127872043824
INF_sd,0.027562138268740453
IND_avg,0.022371935105946567
INC_r1,0.021694335671075926
INF_sk,0.021529777888361717
INC_sd,0.0204865914334777
IND_kr,0.01892917770759762
IND_sk,0.010121740027303618
INF_kr,0.009399527021652993
INC_sk,0.00572247404373469
SUP_sk,0.005711878788740255
INC_kr,0.004353181900467895
SUP_kr,0.0037693478214340936
