Instance, HV_MOEA_D, HV_COMOLS_D, EPS_MOEA_D, EPS_COMOLS_D, IGD_MOAE_D, IGD_COMOLS_D, Mann Whit Test
172     ,    0.9193,      0.9169,     0.8431,       0.8406,     0.7752,       0.7747, HV: 1 = 2 | EPS: 1 = 2
240     ,    0.8729,      0.8707,     0.8269,       0.8219,     0.6937,       0.6922, HV: 1 = 2 | EPS: 1 = 2
456     ,    0.9120,      0.9089,     0.8393,       0.8375,     0.7790,       0.7779, HV: 1 = 2 | EPS: 1 = 2
A       ,    0.8049,      0.8041,     0.7333,       0.7327,     0.6838,       0.6831, HV: 1 = 2 | EPS: 1 = 2
