Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 24840 | GridSize: 297
Generation 2 | Revalues: 31840 | GridSize: 300
Generation 3 | Revalues: 37470 | GridSize: 300
Generation 4 | Revalues: 39270 | GridSize: 298
Generation 5 | Revalues: 40930 | GridSize: 298
Generation 6 | Revalues: 43610 | GridSize: 300
Generation 7 | Revalues: 45500 | GridSize: 300
Generation 8 | Revalues: 47380 | GridSize: 299
Generation 9 | Revalues: 50370 | GridSize: 291
Generation 10 | Revalues: 51640 | GridSize: 300
Generation 11 | Revalues: 53240 | GridSize: 300
Generation 12 | Revalues: 55240 | GridSize: 300
Generation 13 | Revalues: 57000 | GridSize: 300
Generation 14 | Revalues: 58460 | GridSize: 300
Generation 15 | Revalues: 59730 | GridSize: 296
Generation 16 | Revalues: 62120 | GridSize: 300
Generation 17 | Revalues: 63300 | GridSize: 297
Generation 18 | Revalues: 64600 | GridSize: 300
Generation 19 | Revalues: 65950 | GridSize: 300
Generation 20 | Revalues: 67680 | GridSize: 297
Generation 21 | Revalues: 68730 | GridSize: 300
Generation 22 | Revalues: 69940 | GridSize: 298
Generation 23 | Revalues: 71550 | GridSize: 295
Generation 24 | Revalues: 72740 | GridSize: 298
Generation 25 | Revalues: 74440 | GridSize: 300
Generation 26 | Revalues: 75710 | GridSize: 300
Generation 27 | Revalues: 77200 | GridSize: 297
Generation 28 | Revalues: 78770 | GridSize: 300
Generation 29 | Revalues: 80680 | GridSize: 300
Generation 30 | Revalues: 82210 | GridSize: 300
Generation 31 | Revalues: 84510 | GridSize: 300
Generation 32 | Revalues: 85840 | GridSize: 300
Generation 33 | Revalues: 87040 | GridSize: 295
Generation 34 | Revalues: 88510 | GridSize: 300
Generation 35 | Revalues: 89880 | GridSize: 300
Generation 36 | Revalues: 91120 | GridSize: 300
Generation 37 | Revalues: 92550 | GridSize: 299
Generation 38 | Revalues: 93830 | GridSize: 300
Generation 39 | Revalues: 95220 | GridSize: 298
Generation 40 | Revalues: 96290 | GridSize: 300
Generation 41 | Revalues: 97470 | GridSize: 299
Generation 42 | Revalues: 98490 | GridSize: 300
Generation 43 | Revalues: 99800 | GridSize: 298
Generation 44 | Revalues: 101020 | GridSize: 299
Generation 45 | Revalues: 102230 | GridSize: 300
Generation 46 | Revalues: 103630 | GridSize: 300
Generation 47 | Revalues: 104680 | GridSize: 300
Generation 48 | Revalues: 105880 | GridSize: 299
Generation 49 | Revalues: 107250 | GridSize: 300
Generation 50 | Revalues: 108640 | GridSize: 300
