Instance,SBS_Prediction
71,0.7926869631400009
129,0.7345283323532005
22,0.6989402607065996
183,0.8778200047154532
429,0.8036924309329995
64,0.79072812359745
481,0.7854509879069
241,0.7994557580894498
281,0.7961564397679001
84,0.7929196606237998
161,0.797609107488
103,0.80194485175005
209,0.7949898579029501
206,0.8033427186608497
244,0.79133983803275
336,0.7922728769492003
331,0.8001597203349
0,0.80418057349455
261,0.8024170677136003
504,0.7778631470702498
407,0.7876927547768999
440,0.7943307356772
230,0.7894794692188001
430,0.7957199123737999
A,0.7944771202081503
357,0.7955196912410506
202,0.8057637423362497
345,0.7986246501812997
232,0.7926998611420498
127,0.8006223558121998
20,0.8017573339149
387,0.80183971297825
67,0.8022408393421003
502,0.7922083457395
94,0.8065022379477501
74,0.8052784121365001
23,0.8018311569167499
156,0.7980319672499999
394,0.7797574354392495
121,0.7944626156131498
242,0.7920574126070001
80,0.8018315994743501
11,0.7983218484181996
59,0.7884477437081501
179,0.8044486883121502
427,0.8025430229849004
340,0.8094571330320499
137,0.7982391194686999
366,0.8003286847861999
322,0.7928916058103002
81,0.8010992791863499
237,0.7804857533498502
69,0.7930001064894501
239,0.7918307850328498
497,0.7938043129632999
