Instance,SBS_Prediction
71,0.7264316105284929
129,0.7418587497864764
22,0.689857228930482
183,0.7572158104252787
429,0.6580446065312732
64,0.6422620317350032
481,0.743087393922703
241,0.7657201231075309
281,0.7392832822069013
84,0.7391150901319264
161,0.7922286831108772
103,0.6263250615250395
209,0.6179120216941161
206,0.6291056110181055
244,0.6392861945053295
336,0.6397046303257983
331,0.6354936096789569
0,0.6539531062351319
261,0.6489546481186558
504,0.6447772622168357
407,0.6268804090197109
440,0.6312101431500534
230,0.6478800319183758
430,0.6318049907796063
A,0.6247081070888303
357,0.6561165021188109
202,0.6275975964887011
345,0.6420880460508204
232,0.6321178886261568
127,0.6528931483946014
20,0.638170833009084
387,0.6396356443329863
67,0.6377957693563201
502,0.6300315634738896
94,0.6417567165962359
74,0.6197687683847718
23,0.6285911539406877
156,0.6354670151111584
394,0.629448345980573
121,0.6150571057274538
242,0.6139467577360656
80,0.6293268898857913
11,0.6161721144557617
59,0.6230001522713239
179,0.6431332370705847
427,0.6335378874580272
340,0.6275704448069347
137,0.628618732984284
366,0.6354608365402834
322,0.6349434125415135
81,0.6428118616127277
237,0.6589015768508234
69,0.6296440158452227
239,0.6450060216923335
497,0.6343852633399871
496,0.6315980248513465
92,0.6177819910001137
168,0.622423435769739
14,0.6284568324854828
367,0.6186264410840381
247,0.6329867601314539
